DATE;HOUR;MINUTE;AVG;MIN;MAX;HH;H;L;LL;MEASURE
20160101;0;;143.73;;;;;;;Rh/h
20160101;1;;143.79;;;;;;;Rh/h
20160101;2;;143.68;;;;;;;Rh/h
20160101;3;;143.85;;;;;;;Rh/h
20160101;4;;143.73;;;;;;;Rh/h
20160101;5;;143.75;;;;;;;Rh/h
20160101;6;;143.55;;;;;;;Rh/h
20160101;7;;143.66;;;;;;;Rh/h
20160101;8;;143.45;;;;;;;Rh/h
20160101;9;;143.62;;;;;;;Rh/h
20160101;10;;143.58;;;;;;;Rh/h
20160101;11;;143.68;;;;;;;Rh/h
20160101;12;;143.54;;;;;;;Rh/h
20160101;13;;143.73;;;;;;;Rh/h
20160101;14;;143.68;;;;;;;Rh/h
20160101;15;;143.63;;;;;;;Rh/h
20160101;16;;143.55;;;;;;;Rh/h
20160101;17;;143.56;;;;;;;Rh/h
20160101;18;;143.56;;;;;;;Rh/h
20160101;19;;143.69;;;;;;;Rh/h
20160101;20;;143.47;;;;;;;Rh/h
20160101;21;;143.59;;;;;;;Rh/h
20160101;22;;143.15;;;;;;;Rh/h
20160101;23;;143.4;;;;;;;Rh/h
20160102;0;;143.35;;;;;;;Rh/h
20160102;1;;143.43;;;;;;;Rh/h
20160102;2;;143.58;;;;;;;Rh/h
20160102;3;;143.59;;;;;;;Rh/h
20160102;4;;143.51;;;;;;;Rh/h
20160102;5;;143.44;;;;;;;Rh/h
20160102;6;;143.53;;;;;;;Rh/h
20160102;7;;143.35;;;;;;;Rh/h
20160102;8;;143.53;;;;;;;Rh/h
20160102;9;;143.65;;;;;;;Rh/h
20160102;10;;143.71;;;;;;;Rh/h
20160102;11;;143.62;;;;;;;Rh/h
20160102;12;;143.73;;;;;;;Rh/h
20160102;13;;143.69;;;;;;;Rh/h
20160102;14;;143.78;;;;;;;Rh/h
20160102;15;;143.75;;;;;;;Rh/h
20160102;16;;143.73;;;;;;;Rh/h
20160102;17;;143.75;;;;;;;Rh/h
20160102;18;;143.69;;;;;;;Rh/h
20160102;19;;143.66;;;;;;;Rh/h
20160102;20;;143.59;;;;;;;Rh/h
20160102;21;;143.55;;;;;;;Rh/h
20160102;22;;143.55;;;;;;;Rh/h
20160102;23;;143.49;;;;;;;Rh/h
20160103;0;;143.64;;;;;;;Rh/h
20160103;1;;143.41;;;;;;;Rh/h
20160103;2;;143.38;;;;;;;Rh/h
20160103;3;;143.36;;;;;;;Rh/h
20160103;4;;143.17;;;;;;;Rh/h
20160103;5;;143.09;;;;;;;Rh/h
20160103;6;;143.1;;;;;;;Rh/h
20160103;7;;143.28;;;;;;;Rh/h
20160103;8;;143.32;;;;;;;Rh/h
20160103;9;;143.3;;;;;;;Rh/h
20160103;10;;143.36;;;;;;;Rh/h
20160103;11;;143.32;;;;;;;Rh/h
20160103;12;;143.42;;;;;;;Rh/h
20160103;13;;143.5;;;;;;;Rh/h
20160103;14;;143.43;;;;;;;Rh/h
20160103;15;;143.45;;;;;;;Rh/h
20160103;16;;143.57;;;;;;;Rh/h
20160103;17;;143.45;;;;;;;Rh/h
20160103;18;;143.5;;;;;;;Rh/h
20160103;19;;143.43;;;;;;;Rh/h
20160103;20;;143.49;;;;;;;Rh/h
20160103;21;;143.46;;;;;;;Rh/h
20160103;22;;143.73;;;;;;;Rh/h
20160103;23;;143.58;;;;;;;Rh/h
20160104;0;;143.63;;;;;;;Rh/h
20160104;1;;143.74;;;;;;;Rh/h
20160104;2;;143.54;;;;;;;Rh/h
20160104;3;;143.56;;;;;;;Rh/h
20160104;4;;143.63;;;;;;;Rh/h
20160104;5;;143.6;;;;;;;Rh/h
20160104;6;;143.56;;;;;;;Rh/h
20160104;7;;143.5;;;;;;;Rh/h
20160104;8;;143.59;;;;;;;Rh/h
20160104;9;;143.58;;;;;;;Rh/h
20160104;10;;143.64;;;;;;;Rh/h
20160104;11;;143.57;;;;;;;Rh/h
20160104;12;;143.73;;;;;;;Rh/h
20160104;13;;143.67;;;;;;;Rh/h
20160104;14;;143.67;;;;;;;Rh/h
20160104;15;;143.54;;;;;;;Rh/h
20160104;16;;143.56;;;;;;;Rh/h
20160104;17;;143.46;;;;;;;Rh/h
20160104;18;;143.47;;;;;;;Rh/h
20160104;19;;143.55;;;;;;;Rh/h
20160104;20;;143.53;;;;;;;Rh/h
20160104;21;;143.56;;;;;;;Rh/h
20160104;22;;143.5;;;;;;;Rh/h
20160104;23;;143.52;;;;;;;Rh/h
20160105;0;;143.68;;;;;;;Rh/h
20160105;1;;143.54;;;;;;;Rh/h
20160105;2;;143.6;;;;;;;Rh/h
20160105;3;;143.59;;;;;;;Rh/h
20160105;4;;143.39;;;;;;;Rh/h
20160105;5;;143.49;;;;;;;Rh/h
20160105;6;;143.58;;;;;;;Rh/h
20160105;7;;143.63;;;;;;;Rh/h
20160105;8;;143.61;;;;;;;Rh/h
20160105;9;;143.54;;;;;;;Rh/h
20160105;10;;143.62;;;;;;;Rh/h
20160105;11;;143.53;;;;;;;Rh/h
20160105;12;;143.58;;;;;;;Rh/h
20160105;13;;143.57;;;;;;;Rh/h
20160105;14;;143.58;;;;;;;Rh/h
20160105;15;;143.42;;;;;;;Rh/h
20160105;16;;143.6;;;;;;;Rh/h
20160105;17;;143.56;;;;;;;Rh/h
20160105;18;;143.67;;;;;;;Rh/h
20160105;19;;143.56;;;;;;;Rh/h
20160105;20;;143.6;;;;;;;Rh/h
20160105;21;;143.61;;;;;;;Rh/h
20160105;22;;143.55;;;;;;;Rh/h
20160105;23;;143.59;;;;;;;Rh/h
20160106;0;;143.62;;;;;;;Rh/h
20160106;1;;143.67;;;;;;;Rh/h
20160106;2;;143.53;;;;;;;Rh/h
20160106;3;;143.54;;;;;;;Rh/h
20160106;4;;143.54;;;;;;;Rh/h
20160106;5;;143.52;;;;;;;Rh/h
20160106;6;;143.53;;;;;;;Rh/h
20160106;7;;143.72;;;;;;;Rh/h
20160106;8;;143.64;;;;;;;Rh/h
20160106;9;;143.44;;;;;;;Rh/h
20160106;10;;143.47;;;;;;;Rh/h
20160106;11;;143.56;;;;;;;Rh/h
20160106;12;;143.62;;;;;;;Rh/h
20160106;13;;143.69;;;;;;;Rh/h
20160106;14;;143.55;;;;;;;Rh/h
20160106;15;;143.53;;;;;;;Rh/h
20160106;16;;143.51;;;;;;;Rh/h
20160106;17;;143.7;;;;;;;Rh/h
20160106;18;;143.57;;;;;;;Rh/h
20160106;19;;143.57;;;;;;;Rh/h
20160106;20;;143.64;;;;;;;Rh/h
20160106;21;;143.62;;;;;;;Rh/h
20160106;22;;143.61;;;;;;;Rh/h
20160106;23;;143.68;;;;;;;Rh/h
20160107;0;;143.54;;;;;;;Rh/h
20160107;1;;143.6;;;;;;;Rh/h
20160107;2;;143.63;;;;;;;Rh/h
20160107;3;;143.66;;;;;;;Rh/h
20160107;4;;143.62;;;;;;;Rh/h
20160107;5;;143.72;;;;;;;Rh/h
20160107;6;;143.69;;;;;;;Rh/h
20160107;7;;143.61;;;;;;;Rh/h
20160107;8;;143.72;;;;;;;Rh/h
20160107;9;;143.75;;;;;;;Rh/h
20160107;10;;143.7;;;;;;;Rh/h
20160107;11;;143.62;;;;;;;Rh/h
20160107;12;;143.76;;;;;;;Rh/h
