Type,"Country Code","Series Code","Time Code","Description"
FootNote,"Argentina (ARG)","Internet users (per 100 people) (IT.NET.USER.P2)","2011 (YR2011)","Population aged 10+. Estimated based on survey results for urban population."
FootNote,"Argentina (ARG)","GNI, PPP (current international $) (NY.GNP.MKTP.PP.CD)","2007 (YR2007)","Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized."
FootNote,"Argentina (ARG)","GNI, PPP (current international $) (NY.GNP.MKTP.PP.CD)","2008 (YR2008)","Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized."
FootNote,"Argentina (ARG)","GNI, PPP (current international $) (NY.GNP.MKTP.PP.CD)","2009 (YR2009)","Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized."
FootNote,"Argentina (ARG)","GNI, PPP (current international $) (NY.GNP.MKTP.PP.CD)","2010 (YR2010)","Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized."
FootNote,"Argentina (ARG)","GNI, PPP (current international $) (NY.GNP.MKTP.PP.CD)","2011 (YR2011)","Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized."
FootNote,"Argentina (ARG)","GNI, PPP (current international $) (NY.GNP.MKTP.PP.CD)","2012 (YR2012)","Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized."
FootNote,"Argentina (ARG)","GNI, PPP (current international $) (NY.GNP.MKTP.PP.CD)","2013 (YR2013)","Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized."
FootNote,"Argentina (ARG)","GNI, PPP (current international $) (NY.GNP.MKTP.PP.CD)","2014 (YR2014)","Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized."
FootNote,"Argentina (ARG)","GNI per capita, PPP (current international $) (NY.GNP.PCAP.PP.CD)","2007 (YR2007)","Data series will be calculated once ongoing revisions to official statistics reported by the National Statistics and Censuses Institute of Argentina have been finalized."
